timestamp,asset_id,mode,temperature_c,pressure_bar,flow_lpm,level_pct,heater_power_pct,vibration_mm_s,energy_kwh,product_quality_pct,status
2026-01-01T08:00:00,tank01,normal,79.13,2.02,45.74,67.35,69.26,1.26,12.44,94.86,NORMAL
2026-01-01T08:00:05,tank01,normal,78.82,2.04,46.19,67.23,72.31,1.59,12.68,94.91,NORMAL
2026-01-01T08:00:10,tank01,normal,78.92,2.03,45.05,65.07,74.68,1.62,12.89,95.12,NORMAL
2026-01-01T08:00:15,tank01,high_temp,93.67,2.08,47.64,66.35,81.14,1.68,13.84,83.17,CRITICAL
2026-01-01T08:00:20,tank01,overpressure,79.19,3.02,47.08,65.55,74.61,1.64,13.45,89.51,CRITICAL
2026-01-01T08:00:25,tank01,normal,81.26,2.02,48.29,66.19,73.58,1.64,12.81,92.62,NORMAL
2026-01-01T08:00:30,tank01,normal,80.99,2.12,47.8,68.3,73.84,1.91,12.89,92.47,NORMAL
2026-01-01T08:00:35,tank01,normal,80.99,2.13,47.69,70.89,73.43,1.54,12.87,92.42,NORMAL
2026-01-01T08:00:40,tank01,normal,81.55,2.09,46.02,70.9,73.83,1.55,12.92,92.65,NORMAL
2026-01-01T08:00:45,tank01,high_temp,96.56,2.05,48.02,69.0,82.9,1.79,14.04,81.06,CRITICAL
2026-01-01T08:00:50,tank01,normal,83.46,2.1,47.38,70.58,73.0,1.86,12.89,90.83,NORMAL
2026-01-01T08:00:55,tank01,normal,81.93,2.18,47.08,68.85,73.07,1.47,12.9,91.64,NORMAL
2026-01-01T08:01:00,tank01,normal,82.53,2.31,47.09,69.39,76.64,1.62,13.29,90.51,NORMAL
2026-01-01T08:01:05,tank01,normal,82.15,2.1,47.98,70.05,77.84,1.56,13.23,91.65,NORMAL
2026-01-01T08:01:10,tank01,low_quality,89.89,2.14,38.55,67.96,84.82,1.5,14.19,84.75,WARNING
2026-01-01T08:01:15,tank01,normal,82.29,2.18,44.23,70.71,76.71,1.41,13.25,91.67,NORMAL
2026-01-01T08:01:20,tank01,normal,82.17,2.25,46.43,69.21,74.38,1.29,13.07,91.28,NORMAL
2026-01-01T08:01:25,tank01,normal,81.19,2.08,45.62,68.54,76.78,1.41,13.14,93.03,NORMAL
2026-01-01T08:01:30,tank01,normal,82.26,2.1,45.3,69.1,78.02,1.49,13.29,92.24,NORMAL
2026-01-01T08:01:35,tank01,high_vibration,81.19,2.17,45.81,70.83,74.85,4.27,13.04,83.5,CRITICAL
2026-01-01T08:01:40,tank01,normal,79.38,2.12,44.6,69.02,74.78,1.51,12.97,94.28,NORMAL
2026-01-01T08:01:45,tank01,high_temp,93.74,2.16,44.8,69.78,80.18,1.38,13.85,83.34,CRITICAL
2026-01-01T08:01:50,tank01,normal,79.17,2.16,42.53,69.25,73.43,1.36,12.91,93.72,NORMAL
2026-01-01T08:01:55,tank01,normal,78.79,2.21,42.95,69.19,72.91,1.52,12.88,93.85,NORMAL
2026-01-01T08:02:00,tank01,normal,79.33,2.18,41.52,68.77,72.72,1.04,12.88,93.25,NORMAL
2026-01-01T08:02:05,tank01,normal,78.26,2.11,41.32,69.76,71.21,1.1,12.69,94.34,NORMAL
2026-01-01T08:02:10,tank01,low_quality,85.74,2.09,33.11,70.91,80.85,1.44,13.8,86.76,WARNING
2026-01-01T08:02:15,tank01,normal,76.03,2.07,42.01,71.33,67.39,1.48,12.28,93.42,NORMAL
2026-01-01T08:02:20,tank01,normal,79.03,2.1,43.24,65.6,72.13,1.28,12.75,94.31,NORMAL
2026-01-01T08:02:25,tank01,normal,75.16,2.02,41.87,68.24,65.7,1.74,12.1,92.97,NORMAL
2026-01-01T08:02:30,tank01,normal,75.51,1.95,40.3,69.05,70.12,1.48,12.44,92.72,NORMAL
2026-01-01T08:02:35,tank01,high_temp,89.35,2.03,43.72,66.98,73.18,1.46,13.09,87.04,WARNING
2026-01-01T08:02:40,tank01,normal,73.85,1.95,43.2,66.35,67.59,1.55,12.14,92.17,NORMAL
2026-01-01T08:02:45,tank01,normal,73.43,1.92,43.31,67.12,67.31,1.53,12.09,91.75,NORMAL
2026-01-01T08:02:50,tank01,normal,73.62,1.91,42.75,65.38,66.85,1.59,12.06,91.71,NORMAL
2026-01-01T08:02:55,tank01,high_temp,88.15,1.98,43.8,64.81,72.45,1.89,12.97,88.01,WARNING
2026-01-01T08:03:00,tank01,normal,71.24,1.97,45.0,65.28,65.32,1.79,11.87,90.76,NORMAL
2026-01-01T08:03:05,tank01,high_vibration,75.21,1.84,44.79,65.39,65.88,4.49,11.96,83.08,CRITICAL
2026-01-01T08:03:10,tank01,normal,75.21,1.89,47.3,64.57,63.75,1.91,11.78,92.79,NORMAL
2026-01-01T08:03:15,tank01,high_vibration,74.43,1.9,47.02,65.0,63.93,4.9,11.78,80.74,CRITICAL
2026-01-01T08:03:20,tank01,high_temp,88.66,1.95,46.48,65.03,74.48,1.53,13.09,87.36,WARNING
2026-01-01T08:03:25,tank01,normal,73.99,1.89,48.52,63.29,63.24,1.58,11.68,91.56,NORMAL
2026-01-01T08:03:30,tank01,high_temp,88.05,1.85,47.67,62.89,74.42,1.43,12.99,87.03,WARNING
2026-01-01T08:03:35,tank01,normal,75.71,1.8,47.88,63.0,62.94,1.92,11.67,92.57,NORMAL
2026-01-01T08:03:40,tank01,low_flow,76.65,2.02,32.98,63.02,66.33,1.74,12.32,91.88,WARNING
2026-01-01T08:03:45,tank01,overpressure,75.04,2.89,49.12,64.09,67.18,1.24,12.62,88.3,CRITICAL
2026-01-01T08:03:50,tank01,low_flow,76.54,2.09,32.93,60.43,67.21,1.39,12.43,91.43,WARNING
2026-01-01T08:03:55,tank01,overpressure,77.12,2.81,48.07,60.66,67.18,1.25,12.66,90.5,CRITICAL
2026-01-01T08:04:00,tank01,normal,77.73,1.8,47.31,62.97,65.58,1.46,11.95,94.23,NORMAL
2026-01-01T08:04:05,tank01,normal,77.11,1.94,48.37,60.53,65.05,1.27,11.96,94.21,NORMAL
2026-01-01T08:04:10,tank01,low_quality,84.52,1.83,41.18,62.64,78.2,1.71,13.27,89.33,NORMAL
2026-01-01T08:04:15,tank01,normal,79.52,1.9,46.96,59.32,65.68,1.22,12.08,93.87,NORMAL
2026-01-01T08:04:20,tank01,normal,78.8,1.86,46.66,60.15,69.36,1.23,12.33,94.27,NORMAL
2026-01-01T08:04:25,tank01,high_temp,93.74,1.81,46.01,60.46,75.63,1.19,13.26,82.99,CRITICAL
2026-01-01T08:04:30,tank01,normal,80.97,1.83,45.53,61.02,67.7,1.38,12.26,92.79,NORMAL
2026-01-01T08:04:35,tank01,normal,81.21,1.94,46.53,59.34,71.33,1.19,12.61,92.92,NORMAL
2026-01-01T08:04:40,tank01,normal,80.96,1.92,44.56,61.24,68.38,1.21,12.38,93.25,NORMAL
2026-01-01T08:04:45,tank01,normal,80.77,1.94,42.37,60.47,71.22,1.25,12.65,92.98,NORMAL
2026-01-01T08:04:50,tank01,normal,80.42,1.94,42.96,62.01,71.63,1.14,12.66,93.36,NORMAL
2026-01-01T08:04:55,tank01,normal,81.81,1.97,43.4,61.57,72.59,1.35,12.79,92.59,NORMAL
2026-01-01T08:05:00,tank01,normal,81.53,1.95,42.63,59.02,72.93,1.65,12.81,92.5,NORMAL
2026-01-01T08:05:05,tank01,normal,81.99,1.9,43.38,61.29,75.11,1.8,12.96,92.11,NORMAL
2026-01-01T08:05:10,tank01,normal,82.57,2.01,42.94,59.63,74.65,1.3,13.01,91.98,NORMAL
2026-01-01T08:05:15,tank01,low_quality,88.34,1.95,35.12,59.89,84.08,1.37,14.02,85.52,WARNING
2026-01-01T08:05:20,tank01,low_flow,80.22,2.25,27.0,59.83,74.78,1.7,13.33,88.58,CRITICAL
2026-01-01T08:05:25,tank01,normal,81.79,1.99,41.5,60.78,76.29,1.68,13.13,92.22,NORMAL
2026-01-01T08:05:30,tank01,normal,81.05,2.12,42.46,62.44,74.69,1.43,13.04,92.5,NORMAL
2026-01-01T08:05:35,tank01,normal,80.36,2.11,41.64,62.52,72.88,1.83,12.88,92.85,NORMAL
2026-01-01T08:05:40,tank01,normal,80.34,1.99,42.46,61.29,77.29,1.69,13.15,93.58,NORMAL
2026-01-01T08:05:45,tank01,high_temp,95.7,2.0,41.35,63.8,82.03,1.64,14.01,81.81,CRITICAL
2026-01-01T08:05:50,tank01,normal,80.25,2.16,43.79,63.41,75.34,1.56,13.07,93.2,NORMAL
2026-01-01T08:05:55,tank01,normal,79.24,2.12,43.24,63.41,74.42,1.81,12.96,94.01,NORMAL
2026-01-01T08:06:00,tank01,normal,78.91,2.11,43.55,64.1,75.05,1.75,12.98,94.42,NORMAL
2026-01-01T08:06:05,tank01,normal,78.75,2.09,44.33,62.15,75.59,1.72,13.0,94.84,NORMAL
2026-01-01T08:06:10,tank01,normal,74.86,2.09,44.03,66.24,75.75,1.42,12.9,92.96,NORMAL
2026-01-01T08:06:15,tank01,high_temp,92.21,2.13,45.81,65.34,84.55,1.76,14.12,84.47,CRITICAL
2026-01-01T08:06:20,tank01,normal,77.45,2.22,45.85,64.94,72.64,1.41,12.78,94.26,NORMAL
2026-01-01T08:06:25,tank01,normal,77.59,2.03,46.42,66.25,73.27,1.73,12.71,95.18,NORMAL
2026-01-01T08:06:30,tank01,low_quality,83.25,2.2,39.92,67.32,83.13,1.43,13.87,89.8,NORMAL
2026-01-01T08:06:35,tank01,low_flow,76.46,2.34,33.95,69.25,73.35,1.31,13.06,90.37,WARNING
2026-01-01T08:06:40,tank01,normal,74.77,2.19,46.46,69.21,72.78,1.34,12.68,92.27,NORMAL
2026-01-01T08:06:45,tank01,low_quality,82.07,2.07,39.42,66.38,81.46,0.99,13.63,91.2,NORMAL
2026-01-01T08:06:50,tank01,normal,75.1,2.08,46.91,68.09,71.07,1.23,12.48,92.96,NORMAL
2026-01-01T08:06:55,tank01,overpressure,74.65,3.11,48.47,67.68,68.54,1.37,12.86,87.07,CRITICAL
2026-01-01T08:07:00,tank01,normal,75.81,2.14,48.26,69.34,70.29,1.18,12.46,92.85,NORMAL
2026-01-01T08:07:05,tank01,overpressure,73.93,3.07,50.13,69.05,71.27,1.42,13.01,86.3,CRITICAL
2026-01-01T08:07:10,tank01,normal,74.09,2.02,47.17,68.01,68.74,1.24,12.23,92.41,NORMAL
2026-01-01T08:07:15,tank01,normal,73.76,2.05,46.7,68.67,66.38,1.28,12.05,92.15,NORMAL
2026-01-01T08:07:20,tank01,high_temp,87.43,2.14,47.21,70.43,76.03,1.39,13.28,87.66,WARNING
2026-01-01T08:07:25,tank01,normal,72.81,2.04,47.2,70.46,64.34,1.37,11.85,91.34,NORMAL
2026-01-01T08:07:30,tank01,low_quality,81.64,2.04,39.02,70.28,76.33,1.47,13.2,91.57,NORMAL
2026-01-01T08:07:35,tank01,normal,73.87,2.02,47.23,69.67,65.45,1.34,11.96,92.22,NORMAL
2026-01-01T08:07:40,tank01,overpressure,73.14,3.02,44.71,69.37,64.38,1.49,12.49,87.16,CRITICAL
2026-01-01T08:07:45,tank01,normal,75.94,1.98,45.52,68.91,66.78,1.58,12.13,94.24,NORMAL
